"","R10","PF","USR","DMK","IFB","RMS","GS","GP","MR","RME","CM","CDB","DHW","L10","DPL","HR","RDM"
"R10",1,0.375922689114929,-0.480791756929788,0.333548448139866,-0.28575614428043,-0.425453553211386,-0.0526367066793335,-0.0704015402453553,0.468939744431923,-0.329017141013056,-0.0706579187604513,0.129167890965612,0.262832830502465,-0.202534947020361,0.419795645638239,0.153948705724746,0.0813950509726708
"PF",0.375922689114929,1,-0.452137150290491,0.622039792686607,-0.119855443360382,0.0145025621193077,-0.058643087551528,-0.0735528933343881,0.205250806430348,-0.194363630504015,0.378182872913609,0.411805378546169,-0.205892497285552,-0.128499689442318,0.0709453619634418,-0.144615447718996,0.29892270866843
"USR",-0.480791756929788,-0.452137150290491,1,-0.395530281056724,0.209571969957992,0.481212589981806,0.277848581532232,0.181141395585947,-0.423067570220234,0.266217233731495,0.0991330690644236,-0.0839273524181191,-0.0542734756445723,0.275801603217066,-0.356393872008297,-0.405157638455521,0.000158209768574266
"DMK",0.333548448139866,0.622039792686607,-0.395530281056724,1,-0.0655309761089653,-0.310050129058154,0.0346860268546433,0.0753371479466423,0.669376741406133,-0.388803436081788,0.534133757569898,0.500851109958719,0.127220405112474,-0.135156277472436,0.403317717443213,-0.222803301310504,0.309815744215821
"IFB",-0.28575614428043,-0.119855443360382,0.209571969957992,-0.0655309761089653,1,0.175677041599042,0.219624135158057,0.0877945737059622,-0.171771609884765,0.125717985641154,0.022670840663977,0.0561731749871325,0.0394804508197208,-0.0922530847517055,-0.0462792193238797,-0.196756997476183,0.219058682554264
"RMS",-0.425453553211386,0.0145025621193077,0.481212589981806,-0.310050129058154,0.175677041599042,1,0.035963424245354,0.405570741740132,-0.462883695311424,0.792525467378024,0.314784702873265,0.185348603505811,-0.369021111031556,0.148561743375519,-0.312660590239629,-0.511993179401088,0.0999768544968197
"GS",-0.0526367066793335,-0.058643087551528,0.277848581532232,0.0346860268546433,0.219624135158057,0.035963424245354,1,-0.0166647622898227,0.148737691133514,-0.0238047105493688,0.180139400384977,0.290883308576434,0.307657857037017,0.129311254092117,0.261426993516329,-0.243112747898593,0.439911050952335
"GP",-0.0704015402453553,-0.0735528933343881,0.181141395585947,0.0753371479466423,0.0877945737059622,0.405570741740132,-0.0166647622898227,1,0.277318285826456,0.44549819963143,0.303534230441317,0.29439322159036,0.232513614864204,0.0751268619138584,0.210193396793029,-0.312297293734014,0.276410044562418
"MR",0.468939744431923,0.205250806430348,-0.423067570220234,0.669376741406133,-0.171771609884765,-0.462883695311424,0.148737691133514,0.277318285826456,1,-0.278068317321919,0.191674064438253,0.28204114039945,0.528781894852905,-0.056413997587994,0.660511134744916,0.087504651074215,0.212463999953123
"RME",-0.329017141013056,-0.194363630504015,0.266217233731495,-0.388803436081788,0.125717985641154,0.792525467378024,-0.0238047105493688,0.44549819963143,-0.278068317321919,1,0.10388522174271,0.151884307641825,-0.179592901525488,0.0472069870753858,-0.159299658091111,-0.302098623282032,-0.056861762749803
"CM",-0.0706579187604513,0.378182872913609,0.0991330690644236,0.534133757569898,0.022670840663977,0.314784702873265,0.180139400384977,0.303534230441317,0.191674064438253,0.10388522174271,1,0.643494795191595,-0.0746952969606832,0.0120269779329377,0.0729112648285035,-0.624817253068244,0.260709189936687
"CDB",0.129167890965612,0.411805378546169,-0.0839273524181191,0.500851109958719,0.0561731749871325,0.185348603505811,0.290883308576434,0.29439322159036,0.28204114039945,0.151884307641825,0.643494795191595,1,0.0670676733565811,-0.298840370811623,0.542908540104711,-0.629255916019911,0.591900831773209
"DHW",0.262832830502465,-0.205892497285552,-0.0542734756445723,0.127220405112474,0.0394804508197208,-0.369021111031556,0.307657857037017,0.232513614864204,0.528781894852905,-0.179592901525488,-0.0746952969606832,0.0670676733565811,1,0.042660541787436,0.466874868934764,0.139309329157903,0.269032270452841
"L10",-0.202534947020361,-0.128499689442318,0.275801603217066,-0.135156277472436,-0.0922530847517055,0.148561743375519,0.129311254092117,0.0751268619138584,-0.056413997587994,0.0472069870753858,0.0120269779329377,-0.298840370811623,0.042660541787436,1,-0.370959755783177,0.0414542535379137,-0.203254462148507
"DPL",0.419795645638239,0.0709453619634418,-0.356393872008297,0.403317717443213,-0.0462792193238797,-0.312660590239629,0.261426993516329,0.210193396793029,0.660511134744916,-0.159299658091111,0.0729112648285035,0.542908540104711,0.466874868934764,-0.370959755783177,1,-0.182764510619098,0.494352790205057
"HR",0.153948705724746,-0.144615447718996,-0.405157638455521,-0.222803301310504,-0.196756997476183,-0.511993179401088,-0.243112747898593,-0.312297293734014,0.087504651074215,-0.302098623282032,-0.624817253068244,-0.629255916019911,0.139309329157903,0.0414542535379137,-0.182764510619098,1,-0.452096132943082
"RDM",0.0813950509726708,0.29892270866843,0.000158209768574266,0.309815744215821,0.219058682554264,0.0999768544968197,0.439911050952335,0.276410044562418,0.212463999953123,-0.056861762749803,0.260709189936687,0.591900831773209,0.269032270452841,-0.203254462148507,0.494352790205057,-0.452096132943082,1
