Reef Area 10 km,,Penatly Frequency,,User-Specific Rules,,Distance to Market,,Initial Fish biomass,,Rules Match Social Conditions,,Graduated Sanctions,,Group Involvement,,Management Rights,,Rules Match Ecological Conditions,,Land Area 10 km,,Harvest Rights,
x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0.5,-0.097550877,1.096063984,-0.167466177,3.03E-05,-0.465825645,189.5918928,-0.271402495,10.7816222,-0.007603553,1.000012311,-0.560429068,0.122211923,-0.434972438,0.101441979,-0.401760308,0.066469361,-0.343706481,1.000092967,-0.553508526,0,-0.228434642,1.456692596,-0.318028785
1.685,-0.106739184,1.171488992,-0.195639463,0.013157977,-0.387834274,199.9085308,-0.239602881,78.90738315,0.033432659,1.078167718,-0.312888134,0.199678987,-0.435492232,0.118439016,-0.401202142,0.109198435,-0.342305839,1.077629371,-0.372691615,3.97321411,-0.217060316,1.467429413,-0.318016775
2.87,-0.108738058,1.246914001,-0.198513787,0.026285622,-0.35936235,210.2251688,-0.24651169,147.0331441,-0.221700231,1.156323125,-0.324967301,0.277146051,-0.457661663,0.135436052,-0.401507833,0.15192751,-0.342305839,1.155165775,-0.334507005,7.94642822,-0.209310523,1.478166231,-0.318016775
4.055,-0.137571765,1.322339009,-0.201783283,0.039413267,-0.41076011,220.5418068,-0.249043528,215.1589051,-0.410958987,1.234478532,-0.279123554,0.354613115,-0.458398893,0.152433088,-0.403193304,0.194656584,-0.341575005,1.232702178,-0.343021585,11.91964233,-0.210899804,1.488903048,-0.318016775
5.24,-0.144022129,1.397764017,-0.198674787,0.052540913,-0.396925229,230.8584447,-0.244281013,283.284666,-0.518466134,1.312633939,-0.2897032,0.432080179,-0.47886465,0.169430125,-0.403457809,0.237385658,-0.341630418,1.310238582,-0.34953819,15.89285644,-0.219556424,1.499639866,-0.318001752
6.425,-0.181846607,1.473189026,-0.209904777,0.065668558,-0.405245963,241.1750827,-0.216561333,351.410427,-0.559085192,1.390789346,-0.302408726,0.509547243,-0.486580278,0.186427161,-0.403435533,0.280114733,-0.341590397,1.387774986,-0.327517736,19.86607055,-0.248331724,1.510376683,-0.318000232
7.61,-0.195440337,1.548614034,-0.208899098,0.078796203,-0.40691948,251.4917207,-0.220163134,419.5361879,-0.575321785,1.468944753,-0.300313139,0.587014307,-0.47319732,0.203424197,-0.399366421,0.322843807,-0.331736711,1.46531139,-0.330936736,23.83928466,-0.254032896,1.521113501,-0.318406652
8.795,-0.208971996,1.624039042,-0.211504897,0.091923848,-0.327025179,261.8083587,-0.2186661,487.6619489,-0.582781017,1.54710016,-0.324640635,0.664481371,-0.456760222,0.220421233,-0.400745775,0.365572881,-0.332658453,1.542847793,-0.31206272,27.81249877,-0.278061734,1.531850318,-0.318436527
9.98,-0.216946715,1.699464051,-0.209605765,0.105051494,-0.323989389,272.1249967,-0.218775627,555.7877098,-0.582843927,1.625255567,-0.33267054,0.741948435,-0.43494408,0.23741827,-0.399383132,0.408301955,-0.360455083,1.620384197,-0.30110553,31.78571288,-0.285316434,1.542587136,-0.318726464
11.165,-0.223772296,1.774889059,-0.208996935,0.118179139,-0.309749738,282.4416347,-0.234326016,623.9134708,-0.593111671,1.703410974,-0.332232629,0.819415499,-0.420144911,0.254415306,-0.400664988,0.45103103,-0.371993934,1.697920601,-0.292956662,35.75892699,-0.295859873,1.553323953,-0.319161645
12.35,-0.230617391,1.850314067,-0.195861677,0.131306784,-0.30501749,292.7582726,-0.248392818,692.0392317,-0.595208692,1.781566381,-0.334162257,0.896882562,-0.412379113,0.271412342,-0.402536207,0.493760104,-0.369094953,1.775457004,-0.280720178,39.7321411,-0.302830107,1.564060771,-0.319394911
13.535,-0.225577389,1.925739076,-0.194580709,0.144434429,-0.306815293,303.0749106,-0.333859453,760.1649927,-0.592829157,1.859721788,-0.331860674,0.974349626,-0.409066736,0.288409379,-0.402348403,0.536489178,-0.378387158,1.852993408,-0.276680948,43.70535521,-0.310560498,1.574797588,-0.327027807
14.72,-0.224231428,2.001164084,-0.19653803,0.157562075,-0.30596906,313.3915486,-0.317872257,828.2907536,-0.571586674,1.937877195,-0.318611747,1.05181669,-0.404644449,0.305406415,-0.402257653,0.579218253,-0.375560612,1.930529812,-0.277407327,47.67856932,-0.316939259,1.585534406,-0.317773674
15.905,-0.231282317,2.076589092,-0.194041851,0.17068972,-0.305240925,323.7081866,-0.341280877,896.4165146,-0.570567416,2.016032602,-0.326467997,1.129283754,-0.4141159,0.322403451,-0.402088985,0.621947327,-0.373333909,2.008066216,-0.278156771,51.65178343,-0.323464038,1.596271223,-0.3187912
17.09,-0.239420369,2.152014101,-0.19065633,0.183817365,-0.306059452,334.0248246,-0.329641714,964.5422756,-0.571109311,2.094188009,-0.325411803,1.206750818,-0.420515357,0.339400488,-0.402100447,0.664676401,-0.365222695,2.085602619,-0.278362026,55.62499754,-0.336932056,1.607008041,-0.317889366
18.275,-0.256647946,2.227439109,-0.244512345,0.19694501,-0.306035901,344.3414626,-0.316880589,1032.668037,-0.570008234,2.172343416,-0.324928714,1.284217882,-0.425960745,0.356397524,-0.402190168,0.707405475,-0.364975903,2.163139023,-0.278116463,59.59821165,-0.339303614,1.617744858,-0.317167424
19.46,-0.259234313,2.302864117,-0.278679664,0.210072656,-0.30697453,354.6581005,-0.322845129,1100.793797,-0.562366894,2.250498823,-0.324918946,1.361684946,-0.420238248,0.37339456,-0.402158483,0.75013455,-0.358081508,2.240675427,-0.273050254,63.57142576,-0.343413846,1.628481676,-0.313292151
20.645,-0.258402651,2.378289126,-0.32572646,0.223200301,-0.309562406,364.9747385,-0.322988492,1168.919558,-0.561598482,2.32865423,-0.324937061,1.43915201,-0.415123964,0.390391596,-0.402178223,0.792863624,-0.356401328,2.318211831,-0.271521124,67.54463987,-0.34600285,1.639218493,-0.312126087
21.83,-0.26103176,2.453714134,-0.303655039,0.236327946,-0.285229593,375.2913765,-0.322680082,1237.045319,-0.52034481,2.406809637,-0.324940169,1.516619074,-0.382932238,0.407388633,-0.402222959,0.835592698,-0.356082336,2.395748234,-0.266758944,71.51785398,-0.3542188,1.649955311,-0.308817647
23.015,-0.272383099,2.529139142,-0.338118267,0.249455592,-0.283806568,385.6080145,-0.322530013,1305.17108,-0.517769948,2.484965044,-0.324903867,1.594086138,-0.361410574,0.424385669,-0.403471725,0.878321773,-0.356739019,2.473284638,-0.266720952,75.49106809,-0.366118548,1.660692128,-0.309221566
24.2,-0.279386011,2.604564151,-0.344604047,0.262583237,-0.283812946,395.9246525,-0.322390011,1373.296841,-0.511189951,2.563120451,-0.324977281,1.671553202,-0.35729235,0.441382705,-0.403590794,0.921050847,-0.356546025,2.550821042,-0.280653024,79.4642822,-0.375156318,1.671428945,-0.311873873
25.385,-0.264420123,2.679989159,-0.35733348,0.275710882,-0.282841673,406.2412905,-0.322659831,1441.422602,-0.507690944,2.641275858,-0.324908429,1.749020266,-0.362040372,0.458379742,-0.403527138,0.963779921,-0.343786328,2.628357446,-0.280526823,83.43749631,-0.374352448,1.682165763,-0.304375424
26.57,-0.260908258,2.755414167,-0.376994837,0.288838527,-0.282599861,416.5579284,-0.322206859,1509.548363,-0.507690944,2.719431265,-0.325066749,1.82648733,-0.343670228,0.475376778,-0.403770471,1.006508995,-0.342182867,2.705893849,-0.280713908,87.41071042,-0.374591018,1.69290258,-0.306657259
27.755,-0.266879177,2.830839176,-0.485900395,0.301966173,-0.279411194,426.8745664,-0.320283973,1577.674124,-0.507690944,2.797586672,-0.325053767,1.903954394,-0.34502479,0.492373814,-0.387071377,1.04923807,-0.346754692,2.783430253,-0.28221435,91.38392453,-0.378493892,1.703639398,-0.314038677
28.94,-0.267368571,2.906264184,-0.46764727,0.315093818,-0.281477526,437.1912044,-0.311154994,1645.799885,-0.507690944,2.875742079,-0.325081749,1.981421458,-0.343743058,0.509370851,-0.378121211,1.091967144,-0.338831944,2.860966657,-0.284143304,95.35713864,-0.378669235,1.714376215,-0.314001845
30.125,-0.275408475,2.981689192,-0.450550689,0.328221463,-0.288303383,447.5078424,-0.307955093,1713.925646,-0.507690944,2.953897486,-0.325211147,2.058888522,-0.338560612,0.526367887,-0.363800178,1.134696218,-0.366235779,2.93850306,-0.301472156,99.33035275,-0.387510474,1.725113033,-0.314340627
31.31,-0.273785517,3.057114201,-0.438425039,0.341349108,-0.273976997,457.8244804,-0.312952301,1782.051407,-0.507691855,3.032052893,-0.325318641,2.136355586,-0.329694284,0.543364923,-0.363094819,1.177425293,-0.362095237,3.016039464,-0.301207523,103.3035669,-0.401442092,1.73584985,-0.31012083
32.495,-0.27050437,3.132539209,-0.455720666,0.354476754,-0.25124497,468.1411184,-0.313613815,1850.177168,-0.507679507,3.1102083,-0.325318419,2.21382265,-0.3228458,0.560361959,-0.363436231,1.220154367,-0.344307776,3.093575868,-0.300790034,107.276781,-0.412371689,1.746586668,-0.309445099
33.68,-0.264393922,3.207964217,-0.453281729,0.367604399,-0.248453922,478.4577564,-0.314629503,1918.302929,-0.507482536,3.188363707,-0.325268463,2.291289714,-0.315337504,0.577358996,-0.362543811,1.262883441,-0.268780257,3.171112272,-0.307366167,111.2499951,-0.415043864,1.757323485,-0.309593287
34.865,-0.332065338,3.283389226,-0.451610409,0.380732044,-0.246303029,488.7743943,-0.334632033,1986.42869,-0.506034024,3.266519114,-0.325225929,2.368756778,-0.315109141,0.594356032,-0.359069371,1.305612515,-0.206016085,3.248648675,-0.305720475,115.2232092,-0.4192775,1.768060303,-0.312079209
36.05,-0.606354761,3.358814234,-0.451728878,0.393859689,-0.239095266,499.0910323,-0.335487147,2054.554451,-0.505031957,3.344674521,-0.325225929,2.446223842,-0.307953095,0.611353068,-0.36227796,1.34834159,-0.186109727,3.326185079,-0.282983772,119.1964233,-0.416344397,1.77879712,-0.317141265
37.235,-0.713067997,3.434239243,-0.451644406,0.406987335,-0.23379061,509.4076703,-0.33597944,2122.680212,-0.503578563,3.422829928,-0.32546684,2.523690906,-0.308708227,0.628350105,-0.356456668,1.391070664,-0.182753547,3.403721483,-0.182297535,123.1696374,-0.411660217,1.789533938,-0.313693743
38.42,-0.718917939,3.509664251,-0.467727307,0.42011498,-0.228819872,519.7243083,-0.354488253,2190.805973,-0.503380126,3.500985335,-0.329070151,2.60115797,-0.3087312,0.645347141,-0.348822147,1.433799738,-0.176394248,3.481257887,-0.179768669,127.1428515,-0.409857223,1.800270755,-0.313342438
39.605,-0.719849958,3.585089259,-0.467733883,0.433242625,-0.22885448,530.0409463,-0.358031343,2258.931734,-0.499620168,3.579140742,-0.341672964,2.678625034,-0.309146551,0.662344177,-0.357401387,1.476528812,-0.170992216,3.55879429,-0.179855114,131.1160656,-0.408564146,1.811007573,-0.319375672
40.79,-0.72234155,3.660514268,-0.464736125,0.44637027,-0.227828157,540.3575843,-0.356944629,2327.057495,-0.499620168,3.657296149,-0.340692296,2.756092098,-0.309018114,0.679341214,-0.346191576,1.519257887,-0.163906934,3.636330694,-0.180577369,135.0892797,-0.406478298,1.82174439,-0.317646628
41.975,-0.727096208,3.735939276,-0.463526012,0.459497916,-0.22576328,550.6742222,-0.35667594,2395.183256,-0.499625063,3.735451556,-0.331362691,2.833559162,-0.308378641,0.69633825,-0.331437709,1.561986961,-0.165900354,3.713867098,-0.180577369,139.0624939,-0.405324282,1.832481208,-0.319129466
43.16,-0.733787086,3.811364284,-0.47057054,0.472625561,-0.22645705,560.9908602,-0.356519328,2463.309017,-0.499625063,3.813606963,-0.331228459,2.911026226,-0.308131003,0.713335286,-0.33394031,1.604716035,-0.169852769,3.791403501,-0.180538782,143.035708,-0.402335787,1.843218025,-0.327780732
44.345,-0.734369706,3.886789293,-0.47057054,0.485753206,-0.223333441,571.3074982,-0.366840215,2531.434777,-0.499625063,3.89176237,-0.330957214,2.98849329,-0.306773362,0.730332322,-0.33489078,1.64744511,-0.167442619,3.868939905,-0.180538782,147.0089221,-0.40821819,1.853954842,-0.330331865
45.53,-0.73038846,3.962214301,-0.470549872,0.498880852,-0.224433558,581.6241362,-0.366730721,2599.560538,-0.499625063,3.969917777,-0.330957214,3.065960354,-0.306950668,0.747329359,-0.316018224,1.690174184,-0.164698601,3.946476309,-0.180538782,150.9821362,-0.405436391,1.86469166,-0.33922156
46.715,-0.708758213,4.037639309,-0.470423305,0.512008497,-0.224815952,591.9407742,-0.496523171,2667.686299,-0.499625063,4.048073184,-0.330957214,3.143427418,-0.269877922,0.764326395,-0.32067341,1.732903258,-0.163905265,4.024012713,-0.180479593,154.9553503,-0.41832449,1.875428477,-0.347066172
47.9,-0.716405814,4.113064318,-0.470343148,0.525136142,-0.224932509,602.2574122,-0.496952031,2735.81206,-0.499625063,4.126228591,-0.330957214,3.220894482,-0.267904644,0.781323431,-0.321791863,1.775632332,-0.175260559,4.101549116,-0.180402884,158.9285644,-0.424658298,1.886165295,-0.354441178
49.085,-0.722081026,4.188489326,-0.469268952,0.538263787,-0.225008806,612.5740501,-0.495953903,2803.937821,-0.499625063,4.204383998,-0.330552328,3.298361546,-0.262428193,0.798320468,-0.327106713,1.818361407,-0.17550462,4.17908552,-0.180341974,162.9017785,-0.437739083,1.896902112,-0.376107962
50.27,-0.719797473,4.263914334,-0.468727936,0.551391433,-0.224310661,622.8906881,-0.495647236,2872.063582,-0.499625063,4.282539405,-0.330529114,3.37582861,-0.2570288,0.815317504,-0.325110144,1.861090481,-0.175515241,4.256621924,-0.180495454,166.8749926,-0.423202898,1.90763893,-0.380807739
51.455,-0.716462476,4.339339343,-0.468727936,0.564519078,-0.224304884,633.2073261,-0.495680843,2940.189343,-0.499625063,4.360694812,-0.330261216,3.453295674,-0.249734888,0.83231454,-0.302968115,1.903819555,-0.175570273,4.334158328,-0.180495454,170.8482067,-0.427918598,1.918375747,-0.380799595
52.64,-0.674645441,4.414764351,-0.468727936,0.577646723,-0.224305248,643.5239641,-0.506459632,3008.315104,-0.499625063,4.438850219,-0.330099719,3.530762738,-0.217305615,0.849311577,-0.301594824,1.94654863,-0.17408586,4.411694731,-0.180495454,174.8214208,-0.426005108,1.929112565,-0.379616532
53.825,-0.66163273,4.490189359,-0.468727936,0.590774368,-0.224311411,653.8406021,-0.508981554,3076.440865,-0.499625063,4.517005626,-0.330099719,3.608229802,-0.215278662,0.866308613,-0.291575721,1.989277704,-0.175633275,4.489231135,-0.180495454,178.794635,-0.425643346,1.939849382,-0.38228382
55.01,-0.659313971,4.565614368,-0.468727936,0.603902014,-0.224549863,664.1572401,-0.50954387,3144.566626,-0.499625063,4.595161033,-0.330099719,3.685696866,-0.217980387,0.883305649,-0.24661147,2.032006778,-0.175633275,4.566767539,-0.180495454,182.7678491,-0.425445578,1.9505862,-0.379551926
56.195,-0.640404711,4.641039376,-0.468727936,0.617029659,-0.224628009,674.473878,-0.5268804,3212.692387,-0.499625063,4.67331644,-0.330099719,3.76316393,-0.213920514,0.900302685,-0.246300675,2.074735852,-0.175633275,4.644303942,-0.180495454,186.7410632,-0.425651024,1.961323017,-0.373901433
57.38,-0.640443511,4.716464384,-0.468727936,0.630157304,-0.224740812,684.790516,-0.547843223,3280.818148,-0.499625063,4.751471847,-0.330099719,3.840630994,-0.208204359,0.917299722,-0.225055223,2.117464927,-0.175633275,4.721840346,-0.180495454,190.7142773,-0.425863692,1.972059835,-0.374221529
58.565,-0.640139624,4.791889393,-0.468727936,0.643284949,-0.224740812,695.107154,-0.6302539,3348.943909,-0.499625063,4.829627254,-0.330099719,3.918098058,-0.207922521,0.934296758,-0.087309622,2.160194001,-0.175633275,4.79937675,-0.180495454,194.6874914,-0.426305789,1.982796652,-0.378827585
59.75,-0.638937017,4.867314401,-0.468727936,0.656412595,-0.224740812,705.423792,-0.638657295,3417.06967,-0.499625063,4.907782661,-0.330099719,3.995565122,-0.243242441,0.951293794,-0.087005932,2.202923075,-0.183239158,4.876913154,-0.180495454,198.6607055,-0.426305789,1.99353347,-0.375477286
